// -----------------------------------------------------------------------------
// HYPER-BYTE TOPOLOGY EXPORT
// -----------------------------------------------------------------------------
// Generated by: docs/ontology-claim.js (deterministic, no timestamp)
// Geometry:  16x16 Matrix (0..255) mapped to 4 Attractor Basins.
// Hierarchy: ROOT(4) -> DOMAIN(12) -> SECTION(48) -> LEAF(192)
// Logic:     Parent = ((Child << 1) & 0xF0) | ((Child >> 1) & 0x0F)
// -----------------------------------------------------------------------------
hex,classes,hierarchy,symmetry,inverse,opposite,reverse,parent,depth,distance,ones,entropy,bin,value
// [QUADRANT 1/4] ROOT: 0x00 (RESERVED|INIT|TWIN|MIRROR)
// Domain 2.2:
0x2B,BEFORE,DOMAIN,BALANCED|MARGIN,0xD4,0xB2,0xD4,0x55,1,6,4,1,00101011,43
// Section 2.2.1:
0x16,BEFORE,SECTION,UNBALANCED|ASYMMETRY,0xE9,0x61,0x68,0x2B,2,3,3,0.954434,00010110,22
0x0C,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xF3,0xC0,0x30,0x16,3,4,2,0.81127812,00001100,12
0x0D,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xF2,0xD0,0xB0,0x16,3,3,3,0.954434,00001101,13
0x8C,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x73,0xC8,0x31,0x16,3,5,3,0.954434,10001100,140
0x8D,BEFORE,LEAF,BALANCED|MARGIN,0x72,0xD8,0xB1,0x16,3,4,4,1,10001101,141
// Section 2.2.2:
0x17,BEFORE,SECTION,BALANCED|MARGIN,0xE8,0x71,0xE8,0x2B,2,2,4,1,00010111,23
0x0E,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xF1,0xE0,0x70,0x17,3,5,3,0.954434,00001110,14
0x0F,BEFORE|SHADOW,LEAF,BALANCED|ANTICODE,0xF0,0xF0,0xF0,0x17,3,4,4,1,00001111,15
0x8E,BEFORE,LEAF,BALANCED|MARGIN,0x71,0xE8,0x71,0x17,3,6,4,1,10001110,142
0x8F,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x70,0xF8,0xF1,0x17,3,5,5,0.954434,10001111,143
// Section 2.2.3:
0x96,BEFORE|SHADOW,SECTION,BALANCED|ANTICODE,0x69,0x69,0x69,0x2B,2,4,4,1,10010110,150
0x4C,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xB3,0xC4,0x32,0x96,3,3,3,0.954434,01001100,76
0x4D,BEFORE,LEAF,BALANCED|MARGIN,0xB2,0xD4,0xB2,0x96,3,2,4,1,01001101,77
0xCC,BEFORE|TWIN,LEAF,BALANCED|MARGIN,0x33,0xCC,0x33,0x96,3,4,4,1,11001100,204
0xCD,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x32,0xDC,0xB3,0x96,3,3,5,0.954434,11001101,205
// Section 2.2.4:
0x97,BEFORE,SECTION,UNBALANCED|ASYMMETRY,0x68,0x79,0xE9,0x2B,2,3,5,0.954434,10010111,151
0x4E,BEFORE,LEAF,BALANCED|MARGIN,0xB1,0xE4,0x72,0x97,3,4,4,1,01001110,78
0x4F,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xB0,0xF4,0xF2,0x97,3,3,5,0.954434,01001111,79
0xCE,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x31,0xEC,0x73,0x97,3,5,5,0.954434,11001110,206
0xCF,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x30,0xFC,0xF3,0x97,3,4,6,0.81127812,11001111,207
// Domain 2.3:
0xAB,BEFORE,DOMAIN,UNBALANCED|ASYMMETRY,0x54,0xBA,0xD5,0x55,1,7,5,0.954434,10101011,171
// Section 2.3.1:
0x56,BEFORE,SECTION,BALANCED|MARGIN,0xA9,0x65,0x6A,0xAB,2,2,4,1,01010110,86
0x2C,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xD3,0xC2,0x34,0x56,3,5,3,0.954434,00101100,44
0x2D,BEFORE|SHADOW,LEAF,BALANCED|ANTICODE,0xD2,0xD2,0xB4,0x56,3,4,4,1,00101101,45
0xAC,BEFORE,LEAF,BALANCED|MARGIN,0x53,0xCA,0x35,0x56,3,6,4,1,10101100,172
0xAD,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x52,0xDA,0xB5,0x56,3,5,5,0.954434,10101101,173
// Section 2.3.2:
0x57,BEFORE,SECTION,UNBALANCED|ASYMMETRY,0xA8,0x75,0xEA,0xAB,2,1,5,0.954434,01010111,87
0x2E,BEFORE,LEAF,BALANCED|MARGIN,0xD1,0xE2,0x74,0x57,3,6,4,1,00101110,46
0x2F,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xD0,0xF2,0xF4,0x57,3,5,5,0.954434,00101111,47
0xAE,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x51,0xEA,0x75,0x57,3,7,5,0.954434,10101110,174
0xAF,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x50,0xFA,0xF5,0x57,3,6,6,0.81127812,10101111,175
// Section 2.3.3:
0xD6,BEFORE,SECTION,UNBALANCED|ASYMMETRY,0x29,0x6D,0x6B,0xAB,2,3,5,0.954434,11010110,214
0x6C,BEFORE,LEAF,BALANCED|MARGIN,0x93,0xC6,0x36,0xD6,3,4,4,1,01101100,108
0x6D,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x92,0xD6,0xB6,0xD6,3,3,5,0.954434,01101101,109
0xEC,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x13,0xCE,0x37,0xD6,3,5,5,0.954434,11101100,236
0xED,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x12,0xDE,0xB7,0xD6,3,4,6,0.81127812,11101101,237
// Section 2.3.4:
0xD7,BEFORE,SECTION,UNBALANCED|ASYMMETRY,0x28,0x7D,0xEB,0xAB,2,2,6,0.81127812,11010111,215
0x6E,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x91,0xE6,0x76,0xD7,3,5,5,0.954434,01101110,110
0x6F,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x90,0xF6,0xF6,0xD7,3,4,6,0.81127812,01101111,111
0xEE,BEFORE|TWIN,LEAF,UNBALANCED|REPEATER,0x11,0xEE,0x77,0xD7,3,6,6,0.81127812,11101110,238
0xEF,BEFORE,LEAF,UNBALANCED|IMPULSE,0x10,0xFE,0xF7,0xD7,3,5,7,0.54356444,11101111,239

// [QUADRANT 3/4] ROOT: 0xAA (AFTER|TWIN)
0xAA,AFTER|TWIN,MOVING|ROOT,BALANCED|PARITY,0x55,0xAA,0x55,0x55,0,0,4,1,10101010,170
// Domain 3.1:
0x54,AFTER,DOMAIN,UNBALANCED|ASYMMETRY,0xAB,0x45,0x2A,0xAA,1,7,3,0.954434,01010100,84
// Section 3.1.1:
0x28,AFTER,SECTION,UNBALANCED|ASYMMETRY,0xD7,0x82,0x14,0x54,2,2,2,0.81127812,00101000,40
0x10,AFTER,LEAF,UNBALANCED|IMPULSE,0xEF,0x01,0x08,0x28,3,5,1,0.54356444,00010000,16
0x11,AFTER|TWIN,LEAF,UNBALANCED|REPEATER,0xEE,0x11,0x88,0x28,3,6,2,0.81127812,00010001,17
0x90,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x6F,0x09,0x09,0x28,3,4,2,0.81127812,10010000,144
0x91,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x6E,0x19,0x89,0x28,3,5,3,0.954434,10010001,145
// Section 3.1.2:
0x29,AFTER,SECTION,UNBALANCED|ASYMMETRY,0xD6,0x92,0x94,0x54,2,3,3,0.954434,00101001,41
0x12,AFTER,LEAF,UNBALANCED|ASYMMETRY,0xED,0x21,0x48,0x29,3,4,2,0.81127812,00010010,18
0x13,AFTER,LEAF,UNBALANCED|ASYMMETRY,0xEC,0x31,0xC8,0x29,3,5,3,0.954434,00010011,19
0x92,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x6D,0x29,0x49,0x29,3,3,3,0.954434,10010010,146
0x93,AFTER,LEAF,BALANCED|MARGIN,0x6C,0x39,0xC9,0x29,3,4,4,1,10010011,147
// Section 3.1.3:
0xA8,AFTER,SECTION,UNBALANCED|ASYMMETRY,0x57,0x8A,0x15,0x54,2,1,3,0.954434,10101000,168
0x50,AFTER,LEAF,UNBALANCED|ASYMMETRY,0xAF,0x05,0x0A,0xA8,3,6,2,0.81127812,01010000,80
0x51,AFTER,LEAF,UNBALANCED|ASYMMETRY,0xAE,0x15,0x8A,0xA8,3,7,3,0.954434,01010001,81
0xD0,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x2F,0x0D,0x0B,0xA8,3,5,3,0.954434,11010000,208
0xD1,AFTER,LEAF,BALANCED|MARGIN,0x2E,0x1D,0x8B,0xA8,3,6,4,1,11010001,209
// Section 3.1.4:
0xA9,AFTER,SECTION,BALANCED|MARGIN,0x56,0x9A,0x95,0x54,2,2,4,1,10101001,169
0x52,AFTER,LEAF,UNBALANCED|ASYMMETRY,0xAD,0x25,0x4A,0xA9,3,5,3,0.954434,01010010,82
0x53,AFTER,LEAF,BALANCED|MARGIN,0xAC,0x35,0xCA,0xA9,3,6,4,1,01010011,83
0xD2,AFTER|SHADOW,LEAF,BALANCED|ANTICODE,0x2D,0x2D,0x4B,0xA9,3,4,4,1,11010010,210
0xD3,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x2C,0x3D,0xCB,0xA9,3,5,5,0.954434,11010011,211
// Domain 3.2:
0xD4,AFTER,DOMAIN,BALANCED|MARGIN,0x2B,0x4D,0x2B,0xAA,1,6,4,1,11010100,212
// Section 3.2.1:
0x68,AFTER,SECTION,UNBALANCED|ASYMMETRY,0x97,0x86,0x16,0xD4,2,3,3,0.954434,01101000,104
0x30,AFTER,LEAF,UNBALANCED|ASYMMETRY,0xCF,0x03,0x0C,0x68,3,4,2,0.81127812,00110000,48
0x31,AFTER,LEAF,UNBALANCED|ASYMMETRY,0xCE,0x13,0x8C,0x68,3,5,3,0.954434,00110001,49
0xB0,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x4F,0x0B,0x0D,0x68,3,3,3,0.954434,10110000,176
0xB1,AFTER,LEAF,BALANCED|MARGIN,0x4E,0x1B,0x8D,0x68,3,4,4,1,10110001,177
// Section 3.2.2:
0x69,AFTER|SHADOW,SECTION,BALANCED|ANTICODE,0x96,0x96,0x96,0xD4,2,4,4,1,01101001,105
0x32,AFTER,LEAF,UNBALANCED|ASYMMETRY,0xCD,0x23,0x4C,0x69,3,3,3,0.954434,00110010,50
